buffer_name,feature_prefix,sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,roi_mean_r,roi_mean_g,roi_mean_b,roi_std_r,roi_std_g,roi_std_b,pixel_count,kept_pixel_count,status,warning,source_csv,source_image_path,source_crop_path
T=8,tris8,binary_TC0_OTC48_CTC12,R1,binary,0,48,12,124.07781219482422,194.81370544433597,192.7080993652344,7.904175281524658,9.857999801635742,9.415265083312988,17544,15975,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,48,12.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,48,12.png"
water,water,binary_TC0_OTC48_CTC12,R1,binary,0,48,12,159.118927,193.6136475,214.3091278,10.00188065,10.83998299,11.11711025,17680,16094,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,48,12.jpg","cropped_cuvettes/water/binary/water_binary_0,48,12.png"
T=8,tris8,binary_TC0_OTC48_CTC12,R2,binary,0,48,12,146.5358428955078,225.5681915283203,222.29861450195312,11.397446632385254,13.899189949035645,13.474350929260254,17544,16044,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,48,12_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,48,12_1.png"
water,water,binary_TC0_OTC48_CTC12,R2,binary,0,48,12,161.3327179,195.3595276,216.2542877,9.894221306,10.63341904,10.98512363,17420,15707,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,48,12_1.jpg","cropped_cuvettes/water/binary/water_binary_0,48,12_1.png"
T=8,tris8,binary_TC0_OTC48_CTC12,R3,binary,0,48,12,152.3234405517578,230.52783203125,226.44483947753903,10.548046112060549,12.498651504516602,12.036083221435549,17415,15808,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,48,12_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,48,12_2.png"
water,water,binary_TC0_OTC48_CTC12,R3,binary,0,48,12,164.4916687,198.739502,219.1119843,9.297724724,10.24668312,10.36614704,16875,15252,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,48,12_2.jpg","cropped_cuvettes/water/binary/water_binary_0,48,12_2.png"
T=8,tris8,binary_TC0_OTC54_CTC6,R1,binary,0,54,6,135.1824188232422,215.0838928222656,212.4946746826172,8.672917366027832,10.644230842590332,10.515374183654783,17955,16342,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,54,6.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,54,6.png"
water,water,binary_TC0_OTC54_CTC6,R1,binary,0,54,6,125.1342163,164.1516418,186.0986938,7.849195004,9.480290413,9.8891716,17554,16071,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,54,6.jpg","cropped_cuvettes/water/binary/water_binary_0,54,6.png"
T=8,tris8,binary_TC0_OTC54_CTC6,R2,binary,0,54,6,159.32958984375,241.229248046875,238.20704650878903,13.02145290374756,11.588189125061035,12.321233749389648,18088,16354,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,54,6_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,54,6_1.png"
water,water,binary_TC0_OTC54_CTC6,R2,binary,0,54,6,124.6054077,162.4858856,184.4680328,7.185955048,8.504155159,8.786056519,16896,15345,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,54,6_1.jpg","cropped_cuvettes/water/binary/water_binary_0,54,6_1.png"
T=8,tris8,binary_TC0_OTC54_CTC6,R3,binary,0,54,6,145.6237030029297,226.3458251953125,222.9739990234375,8.82621955871582,10.485673904418944,9.95938491821289,17280,15655,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,54,6_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,54,6_2.png"
water,water,binary_TC0_OTC54_CTC6,R3,binary,0,54,6,124.6054077,162.4858856,184.4680328,7.185955048,8.504155159,8.786056519,16896,15345,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,54,6_2.jpg","cropped_cuvettes/water/binary/water_binary_0,54,6_2.png"
T=8,tris8,binary_TC0_OTC6_CTC54,R1,binary,0,6,54,161.29794311523438,212.99366760253903,214.0474395751953,13.967723846435549,15.725985527038574,15.576483726501465,17816,16127,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,6,54.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,6,54.png"
