random_seed,train_rows,test_rows,train_groups,test_groups,macro_f1,exact_match_ratio,hamming_loss,tc_precision,tc_recall,tc_f1,otc_precision,otc_recall,otc_f1,ctc_precision,ctc_recall,ctc_f1
16,84,21,28,7,0.887056471764118,0.6190476190476191,0.12698412698412698,1.0,0.9333333333333333,0.9655172413793104,1.0,1.0,1.0,0.7272727272727273,0.6666666666666666,0.6956521739130435
17,84,21,28,7,0.8931623931623931,0.5238095238095238,0.15873015873015872,1.0,0.7333333333333333,0.846153846153846,1.0,0.7142857142857143,0.8333333333333333,1.0,1.0,1.0
18,84,21,28,7,0.9496296296296296,0.8095238095238095,0.06349206349206349,0.9230769230769231,1.0,0.9600000000000001,1.0,1.0,1.0,0.8,1.0,0.888888888888889
19,84,21,28,7,0.8215488215488215,0.42857142857142855,0.23809523809523808,0.8,1.0,0.888888888888889,0.8333333333333334,1.0,0.9090909090909091,1.0,0.5,0.6666666666666666
20,84,21,28,7,0.8575042920393964,0.5714285714285714,0.19047619047619047,0.631578947368421,1.0,0.7741935483870968,1.0,0.8888888888888888,0.9411764705882353,1.0,0.75,0.8571428571428571
21,84,21,28,7,0.9696969696969697,0.8571428571428571,0.047619047619047616,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0
22,84,21,28,7,0.7746031746031745,0.47619047619047616,0.2857142857142857,0.75,1.0,0.8571428571428571,0.7692307692307693,0.8333333333333334,0.8,1.0,0.5,0.6666666666666666
23,84,21,28,7,0.875462962962963,0.47619047619047616,0.1746031746031746,1.0,0.6666666666666666,0.8,0.8823529411764706,1.0,0.9375,1.0,0.8,0.888888888888889
24,84,21,28,7,0.8612179487179489,0.5714285714285714,0.19047619047619047,0.8823529411764706,1.0,0.9375,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8,0.8,0.8000000000000002
25,84,21,28,7,0.9220779220779222,0.8571428571428571,0.09523809523809523,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
26,84,21,28,7,0.8023809523809523,0.5714285714285714,0.23809523809523808,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.6,1.0,0.7499999999999999,1.0,0.75,0.8571428571428571
27,84,21,28,7,0.8486772486772486,0.5714285714285714,0.19047619047619047,0.75,1.0,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.6666666666666666,0.8
28,84,21,28,7,0.95483288166215,0.8095238095238095,0.06349206349206349,1.0,0.9523809523809523,0.975609756097561,0.8,1.0,0.888888888888889,1.0,1.0,1.0
29,84,21,28,7,0.8931216931216932,0.6190476190476191,0.12698412698412698,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,1.0,0.888888888888889,0.75,1.0,0.8571428571428571
